Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	100.28	-8.21	185.42	5.31	185.42	5.31	4.0622E-6	NA	83.40	27.00	0.00	0.00	-7.0159E-6	4.0890E-5	-5.3140E-6	-7.1729E-6	3.9561E-5	-5.8000E-6	1.3002E-7	1.3176E-6	4.1745E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2003E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	94.55	-1.72	177.00	3.27	177.00	3.27	3.9366E-6	NA	83.40	27.00	0.00	0.00	-3.3371E-6	3.9677E-5	-8.2399E-7	-3.1198E-6	3.9225E-5	-1.1800E-6	-1.0184E-7	4.0059E-7	3.1200E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2484E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	540.00	102.38	-3.14	181.91	9.55	181.91	9.55	3.3230E-6	NA	83.40	27.00	0.00	0.00	-7.0683E-6	3.2840E-5	-1.5761E-6	-7.1153E-6	3.2408E-5	-1.8200E-6	1.6252E-7	3.7984E-7	1.9998E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2000E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	570.00	105.44	-4.43	184.54	11.62	184.54	11.62	3.1026E-6	NA	83.40	27.00	0.00	0.00	-8.2481E-6	3.0227E-5	-2.0958E-6	-8.2358E-6	2.9817E-5	-2.3943E-6	1.0317E-7	3.5819E-7	2.5455E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2516E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	600.00	103.31	-6.46	185.31	8.78	185.31	8.78	2.6266E-6	NA	83.40	27.00	0.00	0.00	-5.8290E-6	2.5658E-5	-2.7802E-6	-6.0066E-6	2.5399E-5	-2.9529E-6	2.0999E-7	1.4705E-7	1.8195E-8	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2005E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	630.00	103.04	-4.16	183.14	9.65	183.14	9.65	2.3150E-6	NA	83.40	27.00	0.00	0.00	-4.9983E-6	2.2821E-5	-1.5618E-6	-5.2104E-6	2.2493E-5	-1.6782E-6	2.4445E-7	2.1476E-7	-3.8137E-8	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.8520E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	660.00	104.59	4.25	176.25	14.93	176.25	14.93	1.7153E-6	NA	83.40	27.00	0.00	0.00	-4.0722E-6	1.6978E-5	1.3362E-6	-4.3104E-6	1.6554E-5	1.2721E-6	2.7061E-7	3.1117E-7	-9.0472E-8	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.3037E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	690.00	56.08	-15.22	172.64	-36.79	172.64	-36.79	1.8083E-7	NA	83.40	27.00	0.00	0.00	2.0896E-6	1.8042E-6	-3.5853E-7	9.7372E-7	1.4479E-6	-4.7459E-7	1.1483E-6	2.4368E-7	-3.8474E-8	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.1520E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
